Country Name,Country Code,Population,Surface Area,Population Density
Aruba,ABW,105361,180,585.3388888888888
Africa Eastern and Southern,AFE,626392880,15121155.64,41.424934370955256
Afghanistan,AFG,36296111,652860,55.595550347700886
Africa Western and Central,AFW,423769930,9166270,46.231447469908694
Angola,AGO,29816769,1246700,23.916554904949066
Albania,ALB,2873457,28750,99.94633043478261
Andorra,AND,76997,470,163.82340425531916
Arab World,ARB,411942825,13142338.82,31.344711975702968
United Arab Emirates,ARE,9487206,98647.9,96.17240711662387
Argentina,ARG,44044811,2780400,15.84117788807366
Armenia,ARM,2944789,29740,99.01778749159381
American Samoa,ASM,55617,200,278.085
Antigua and Barbuda,ATG,95425,440,216.875
Australia,AUS,24601860,7741220,3.178033953304518
Austria,AUT,8797566,83879,104.8840114927455
Azerbaijan,AZE,9854033,86600,113.78790993071594
Burundi,BDI,10827010,27830,389.0409629895796
Belgium,BEL,11375158,30530,372.58951850638715
Benin,BEN,11175192,114760,97.37880794701987
Burkina Faso,BFA,19193236,274220,69.99210852600102
Bangladesh,BGD,159685421,147977,1079.1232488832725
Bulgaria,BGR,7075947,111000,63.74727027027027
Bahrain,BHR,1494077,780,1915.4833333333333
"Bahamas, The",BHS,381749,13880,27.503530259365995
Bosnia and Herzegovina,BIH,3351534,51210,65.44686584651436
Belarus,BLR,9458989,207600,45.56353082851638
Belize,BLZ,375775,22970,16.359381802350892
Bermuda,BMU,63873,4290,14.88881118881119
Bolivia,BOL,11192853,1098580,10.188473301898815
Brazil,BRA,207833825,8515770,24.405758375343627
Barbados,BRB,286229,430,665.6488372093023
Brunei Darussalam,BRN,424481,5770,73.56689774696707
Bhutan,BTN,745563,38394,19.418737302703548
Botswana,BWA,2205076,581730,3.7905488800646348
Central African Republic,CAF,4596023,622980,7.3774808180037885
Canada,CAN,36545236,9879750,3.6990041245982943
Central Europe and the Baltics,CEB,102740078,1166759,88.05595500013284
Switzerland,CHE,8451840,41290.39,204.69266577525667
Channel Islands,CHI,168666,198,851.8484848484849
Chile,CHL,18470435,756700,24.409191225056166
China,CHN,1396215000,9600010.8,145.43889888123874
Cote d'Ivoire,CIV,24437475,322460,75.78451590894994
Cameroon,CMR,24566070,475440,51.67017920242302
"Congo, Dem. Rep.",COD,81398765,2344860,34.713699325332854
"Congo, Rep.",COG,5110701,342000,14.943570175438596
Colombia,COL,48909844,1141749,42.837649956338915
Comoros,COM,813890,1861,437.3401397098334
Cabo Verde,CPV,537499,4030,133.37444168734493
Costa Rica,CRI,4949955,51100,96.86800391389433
Caribbean small states,CSS,7314956,434990,16.81637738798593
Cuba,CUB,11339255,109880,103.196714597743
Curacao,CUW,160175,444,360.7545045045045
Cayman Islands,CYM,63382,264,240.08333333333334
Cyprus,CYP,1179685,9251,127.51972759701654
Czech Republic,CZE,10594438,78870,134.32785596551287
Germany,DEU,82657002,357580,231.15666983612059
Djibouti,DJI,944100,23200,40.69396551724138
Dominica,DMA,71460,750,95.28
Denmark,DNK,5764980,42920,134.31919850885367
Dominican Republic,DOM,10513111,48670,216.00803369632217
Algeria,DZA,41389174,2381741,17.377697239120458
East Asia & Pacific (excluding high income),EAP,2077988679,16313651.8,127.377285262396
Early-demographic dividend,EAR,3206485623,34145187.76,93.90739466825531
East Asia & Pacific,EAS,2324120551,24868101.6,93.45789993877136
Europe & Central Asia (excluding high income),ECA,395257485,23247623,17.002060167613696
Europe & Central Asia,ECS,914608311,28734886.25,31.829195460970375
Ecuador,ECU,16785356,256370,65.4731676873269
"Egypt, Arab Rep.",EGY,96442590,1001450,96.3029507214539
Euro area,EMU,341217243,2759673.83,123.64404781850614
Eritrea,ERI,3213969,117600,27.32966836734694
Spain,ESP,46593236,505935.23,92.09328237529536
Estonia,EST,1317384,45340,29.05566828407587
Ethiopia,ETH,106399926,1136255.762,93.64082415099779
European Union,EUU,446186344,4172076.83,106.94585986327581
Fragile and conflict affected situations,FCS,900872423,20238969.64,44.511773031149225
Finland,FIN,5508214,338450,16.27482345989068
Fiji,FJI,877460,18270,48.02736726874658
France,FRA,66918020,549087,121.87143385292312
Faroe Islands,FRO,48326,1396,34.617478510028654
"Micronesia, Fed. Sts.",FSM,111461,700,159.23
Gabon,GAB,2064812,267670,7.7140209960025405
United Kingdom,GBR,66058859,243610,271.16645047411845
Georgia,GEO,3728004,69700,53.486427546628406
Ghana,GHA,29121464,238540,122.08209943824934
Gibraltar,GIB,33723,10,3372.3
Guinea,GIN,12067516,245860,49.08287643374278
"Gambia, The",GMB,2213900,11300,195.9203539823009
Guinea-Bissau,GNB,1828146,36130,50.59911430943814
Equatorial Guinea,GNQ,1262008,28050,44.99137254901961
Greece,GRC,10754679,131960,81.4995377387087
Grenada,GRD,110874,340,326.1
Greenland,GRL,56171,410450,0.13685223535144353
Guatemala,GTM,16087418,108890,147.74008632564974
Guam,GUM,164281,540,304.22407407407405
Guyana,GUY,775218,214970,3.606168302553845
High income,HIC,1224138952,37407712.95,32.72423934700878
"Hong Kong SAR, China",HKG,7393200,1110,6660.540540540541
Honduras,HND,9429016,112490,83.8209263045604
Heavily indebted poor countries (HIPC),HPC,759106118,19773858.69,38.38937710138961
Croatia,HRV,4124531,88073,46.83082215889092
Haiti,HTI,10982367,27750,395.760972972973
Hungary,HUN,9787966,93030,105.21300655702461
IBRD only,IBD,4746018766,73017694.8,64.99820049098565
IDA & IBRD total,IBT,6343292514,98562522.44,64.3580577786195
IDA total,IDA,1597273748,25544827.64,62.528264841328166
IDA blend,IDB,536871945,4459474,120.38907391320143
Indonesia,IDN,264650969,1916820,138.06772101710123
IDA only,IDX,1060401803,21085353.64,50.29091857337234
Isle of Man,IMN,83610,570,146.68421052631578
India,IND,1338676779,3287259,407.23191540429275
Ireland,IRL,4807388,70280,68.40335799658509
"Iran, Islamic Rep.",IRN,80673888,1745150,46.22748073231527
Iraq,IRQ,37552789,435052,86.3179321092651
Iceland,ISL,343400,103000,3.333980582524272
Israel,ISR,8713300,22070,394.8028998640689
Italy,ITA,60536709,301340,200.8917136789009
Jamaica,JAM,2920848,10990,265.77324840764334
Jordan,JOR,9785840,89320,109.55933721450963
Japan,JPN,126972000,377970,335.93142312881974
Kazakhstan,KAZ,18037776,2724902,6.619605402322725
Kenya,KEN,50221146,580370,86.5329806847356
Kyrgyz Republic,KGZ,6198200,199950,30.998749687421856
Cambodia,KHM,16009413,181040,88.43025298276623
Kiribati,KIR,114153,810,140.92962962962963
St. Kitts and Nevis,KNA,52036,260,200.13846153846154
"Korea, Rep.",KOR,51361911,100360,511.77671383021124
Kuwait,KWT,4056102,17820,227.61515151515152
Latin America & Caribbean (excluding high income),LAC,573044918,18474256,31.018565402579675
Lao PDR,LAO,6953031,236800,29.362461993243244
Lebanon,LBN,6819373,10450,652.5715789473684
Liberia,LBR,4702224,111370,42.221639579779115
Libya,LBY,6580723,1759540,3.7400246655375837
St. Lucia,LCA,180955,620,291.86290322580646
Latin America & Caribbean,LCN,634566052,20425978,31.066617813844704
Least developed countries: UN classification,LDC,986099903,20773736.64,47.46858594044446
Low income,LIC,631818732,15986564.64,39.52185764908651
Liechtenstein,LIE,37805,160,236.28125
Sri Lanka,LKA,21444000,65610,326.84042066758116
Lower middle income,LMC,3184107532,25638552,124.1921748154888
Low & middle income,LMY,6265829670,96233409.44,65.1107521437931
Lesotho,LSO,2091532,30360,68.89104084321475
Late-demographic dividend,LTE,2285348589,45821791.7,49.87471035533514
Lithuania,LTU,2828403,65286,43.32326992004411
Luxembourg,LUX,596336,2590,230.24555984555985
Latvia,LVA,1942248,64570,30.079727427597955
"Macao SAR, China",MAC,622578,30.8,20213.571428571428
St. Martin (French part),MAF,36569,50,731.38
Morocco,MAR,35581257,446550,79.68034262680551
Monaco,MCO,38392,74.92,512.4399359316604
Moldova,MDA,2755158,33850,81.39314623338257
Madagascar,MDG,25570511,587295,43.53946653725981
Maldives,MDV,496398,300,1654.66
Middle East & North Africa,MEA,441298977,11385550.9,38.75956296502086
Mexico,MEX,124777326,1964375,63.52011504931594
Marshall Islands,MHL,58053,180,322.51666666666665
Middle income,MIC,5634010938,80246844.8,70.20850417286438
North Macedonia,MKD,2074502,25710,80.68852586542201
Mali,MLI,18512429,1240190,14.92709101024843
Malta,MLT,467999,320,1462.496875
Myanmar,MMR,53382521,676590,78.8993644600127
Middle East & North Africa (excluding high income),MNA,376588457,8775233,42.91492396840061
Montenegro,MNE,622373,13810,45.066835626357715
Mongolia,MNG,3113788,1564116,1.9907653908022167
Northern Mariana Islands,MNP,56553,460,122.94130434782609
Mozambique,MOZ,28649007,799380,35.839034001351045
Mauritania,MRT,4282582,1030700,4.155022800038808
Mauritius,MUS,1264613,2040,619.9083333333333
Malawi,MWI,17670193,118480,149.14072417285618
Malaysia,MYS,31104655,330345,94.15809229744661
North America,NAC,361731237,19715550,18.347509301033956
Namibia,NAM,2402623,824290,2.9147787793131057
New Caledonia,NCL,270000,18580,14.531754574811625
Niger,NER,21602388,1267000,17.05002999210734
Nigeria,NGA,190873247,923770,206.6242105718956
Nicaragua,NIC,6384843,130370,48.97478714428166
Netherlands,NLD,17131296,41540,412.40481463649496
Norway,NOR,5276968,625217.11,8.440216871224141
Nepal,NPL,27632682,147180,187.747533632287
Nauru,NRU,10577,20,528.85
New Zealand,NZL,4813600,267710,17.98065070412013
OECD members,OED,1350234580,37658014.33,35.85517197396
Oman,OMN,4665926,309500,15.075689822294022
Other small states,OSS,30148954,2072826,14.544855188037973
Pakistan,PAK,207906210,796100,261.15589750031404
Panama,PAN,4106764,75320,54.52421667551779
